gpu_count,task_type,compression_method,n_params,predicted_loss,compressed_model_size_mb
1,summarization,fixed,186206204.666,0.046,355.16
1,summarization,pruning,186206204.666,0.046,497.224
1,summarization,quantization,186206204.666,0.046,177.58
1,text_classification,fixed,193286080.804,0.045,368.664
1,text_classification,pruning,193286080.804,0.045,516.13
1,text_classification,quantization,193286080.804,0.045,184.332
1,text_generation,fixed,193279046.698,0.045,368.651
1,text_generation,pruning,193279046.698,0.045,516.111
1,text_generation,quantization,193279046.698,0.045,184.325
2,summarization,fixed,204956204.666,0.044,390.923
2,summarization,pruning,204956204.666,0.044,547.292
2,summarization,quantization,204956204.666,0.044,195.461
2,text_classification,fixed,212036080.804,0.043,404.427
2,text_classification,pruning,212036080.804,0.043,566.197
2,text_classification,quantization,212036080.804,0.043,202.213
2,text_generation,fixed,212029046.698,0.043,404.413
2,text_generation,pruning,212029046.698,0.043,566.179
2,text_generation,quantization,212029046.698,0.043,202.207
4,summarization,fixed,279956204.666,0.038,533.974
4,summarization,pruning,279956204.666,0.038,747.564
4,summarization,quantization,279956204.666,0.038,266.987
4,text_classification,fixed,287036080.804,0.037,547.478
4,text_classification,pruning,287036080.804,0.037,766.469
4,text_classification,quantization,287036080.804,0.037,273.739
4,text_generation,fixed,287029046.698,0.037,547.464
4,text_generation,pruning,287029046.698,0.037,766.45
4,text_generation,quantization,287029046.698,0.037,273.732
8,summarization,fixed,479956204.666,0.029,915.444
8,summarization,pruning,479956204.666,0.029,1281.621
8,summarization,quantization,479956204.666,0.029,457.722
8,text_classification,fixed,487036080.804,0.029,928.948
8,text_classification,pruning,487036080.804,0.029,1300.527
8,text_classification,quantization,487036080.804,0.029,464.474
8,text_generation,fixed,487029046.698,0.029,928.934
8,text_generation,pruning,487029046.698,0.029,1300.508
8,text_generation,quantization,487029046.698,0.029,464.467
